data_estrazione;provincia;comune;tipo;candidato_riferimento;nome;voti;percentuale
2024-11-19 08:54:40;Rimini;MONTESCUDO - MONTE COLOMBO;LISTA;SERRA FEDERICO;Liste;1638;100
2024-11-19 08:54:50;Rimini;MORCIANO DI ROMAGNA;CANDIDATO;;UGOLINI ELENA;1074;52,49
2024-11-19 08:54:50;Rimini;MORCIANO DI ROMAGNA;CANDIDATO;;DE PASCALE MICHELE;899;43,94
2024-11-19 08:54:50;Rimini;MORCIANO DI ROMAGNA;CANDIDATO;;TEODORI LUCA;47;2,30
2024-11-19 08:54:50;Rimini;MORCIANO DI ROMAGNA;CANDIDATO;;SERRA FEDERICO;26;1,27
2024-11-19 08:54:50;Rimini;MORCIANO DI ROMAGNA;LISTA;SERRA FEDERICO;Candidati presidente;2046;100
2024-11-19 08:54:50;Rimini;MORCIANO DI ROMAGNA;LISTA;SERRA FEDERICO;Liste;1866;100
2024-11-19 08:55:00;Rimini;NOVAFELTRIA;CANDIDATO;;UGOLINI ELENA;1374;52,44
2024-11-19 08:55:00;Rimini;NOVAFELTRIA;CANDIDATO;;DE PASCALE MICHELE;1184;45,19
2024-11-19 08:55:00;Rimini;NOVAFELTRIA;CANDIDATO;;TEODORI LUCA;40;1,53
2024-11-19 08:55:01;Rimini;NOVAFELTRIA;CANDIDATO;;SERRA FEDERICO;22;0,84
2024-11-19 08:55:01;Rimini;NOVAFELTRIA;LISTA;SERRA FEDERICO;Candidati presidente;2620;100
2024-11-19 08:55:01;Rimini;NOVAFELTRIA;LISTA;SERRA FEDERICO;Liste;2486;100
2024-11-19 08:55:11;Rimini;PENNABILLI;CANDIDATO;;UGOLINI ELENA;552;52,87
2024-11-19 08:55:11;Rimini;PENNABILLI;CANDIDATO;;DE PASCALE MICHELE;472;45,21
2024-11-19 08:55:11;Rimini;PENNABILLI;CANDIDATO;;TEODORI LUCA;11;1,05
2024-11-19 08:55:11;Rimini;PENNABILLI;CANDIDATO;;SERRA FEDERICO;9;0,86
